name,datetime,Mean Area-Weighted Radiance
Guangzhou,2013/2/15,7.16182566
Guangzhou,2013/2/16,7.51978432
Guangzhou,2013/2/17,8.246228538
Guangzhou,2013/2/18,8.825890432
Guangzhou,2013/2/19,8.834365453
Guangzhou,2013/2/20,8.562264347
Guangzhou,2013/2/21,8.853683951
Guangzhou,2013/2/22,8.762728134
Guangzhou,2013/2/23,8.52653693
Guangzhou,2013/2/24,9.07646016
Guangzhou,2013/2/25,9.086945225
Guangzhou,2013/2/26,8.459141531
Guangzhou,2013/2/27,8.520196324
Guangzhou,2013/2/28,8.201761305
Guangzhou,2013/3/1,8.10222577
Guangzhou,2013/3/2,8.530831538
Guangzhou,2013/3/3,8.527354606
Guangzhou,2013/3/4,9.021639693
Guangzhou,2013/3/5,8.694114814
Guangzhou,2013/3/6,8.412956862
Guangzhou,2013/3/7,8.363247322
Guangzhou,2013/3/8,8.952370378
Guangzhou,2013/3/9,9.200070099
Guangzhou,2013/3/10,8.447266461
Guangzhou,2013/3/11,8.115960057
Guangzhou,2013/3/12,8.739367387
Guangzhou,2013/3/13,9.144194298
Guangzhou,2013/3/14,8.858168505
Guangzhou,2013/3/15,8.318804963
Guangzhou,2013/3/16,9.012301319
Guangzhou,2013/3/17,8.845544729
Guangzhou,2013/3/18,8.57430856
Guangzhou,2013/3/19,8.25033953
Guangzhou,2013/3/20,8.668377243
Guangzhou,2013/3/21,8.831192663
Guangzhou,2013/3/22,8.757692055
Guangzhou,2013/3/23,8.798341357
Guangzhou,2013/3/24,9.070446986
Guangzhou,2013/3/25,9.141374265
Guangzhou,2013/3/26,8.966838222
Guangzhou,2013/3/27,9.229205909
Guangzhou,2013/3/28,9.181439254
Guangzhou,2013/3/29,9.442582011
Guangzhou,2013/3/30,9.319599348
Guangzhou,2013/3/31,9.383656884
Guangzhou,2013/4/1,9.27965805
Guangzhou,2013/4/2,9.204742113
Guangzhou,2013/4/3,8.956731919
Guangzhou,2013/4/4,9.241451601
Guangzhou,2013/4/5,9.073696659
Guangzhou,2013/4/6,8.593270455
Guangzhou,2013/4/7,9.105050098
Guangzhou,2013/4/8,9.078546409
Guangzhou,2013/4/9,9.222983115
Guangzhou,2013/4/10,9.36764233
Guangzhou,2013/4/11,9.156894505
Guangzhou,2013/4/12,9.087674259
Guangzhou,2013/4/13,9.377220173
Guangzhou,2013/4/14,8.578472239
Guangzhou,2013/4/15,6.840652015
Guangzhou,2013/4/16,9.23068953
Guangzhou,2013/4/17,7.955145637
Guangzhou,2013/4/18,8.915260646
Guangzhou,2013/4/19,9.148435087
Guangzhou,2013/4/20,9.153671966
Guangzhou,2013/4/21,9.222559805
Guangzhou,2013/4/22,8.955167345
Guangzhou,2013/4/23,8.679984804
Guangzhou,2013/4/24,8.816846702
Guangzhou,2013/4/25,9.216369121
Guangzhou,2013/4/26,8.974338635
Guangzhou,2013/4/27,8.798347689
Guangzhou,2013/4/28,9.216683212
Guangzhou,2013/4/29,9.133770965
Guangzhou,2013/4/30,8.601234881
Guangzhou,2013/5/1,9.216369121
Guangzhou,2013/5/2,9.21668683
Guangzhou,2013/5/3,9.055494325
Guangzhou,2013/5/4,8.739811727
Guangzhou,2013/5/5,8.983070084
Guangzhou,2013/5/6,7.940368678
