name,datetime,Mean Area-Weighted Radiance,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Delhi,2013-02-15,20.14073993,22.5,14.3,18,22.5,14.3,18,13.1,75.1,0,0,0,,,,,22.3,53.2,1011.2,83.8,2.2,119.4,10.2,7,,2013-02-15 6:59:33,2013-02-15 18:11:21,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42181099999,remote"
Delhi,2013-02-16,20.14073993,17.1,13,14.8,17.1,13,14.8,14.5,97.7,16.611,100,16.67,rain,,,37.1,24.3,124,1007.5,98.5,3,110.1,9.7,6,,2013-02-16 6:58:42,2013-02-16 18:12:05,0.19,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"42182099999,VIDP,42181099999"
Delhi,2013-02-17,16.43049569,18.7,12.9,14.3,18.7,12.9,14.3,13.7,96.4,1.701,100,4.17,rain,,,,11.2,147.7,1011.3,65.4,2.5,165.9,14.5,6,,2013-02-17 6:57:50,2013-02-17 18:12:49,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42182099999,VIDP,42181099999"
Delhi,2013-02-18,20.04807805,19.6,10.1,14.4,19.6,10.1,14.4,13,92.1,0,0,0,,,,,24.3,269.3,1014.9,25.5,1.6,225.3,19.3,8,,2013-02-18 6:56:57,2013-02-18 18:13:32,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42181099999"
Delhi,2013-02-19,17.93343417,21.8,12.1,15.9,21.8,12.1,15.9,13.7,87.7,0,0,0,,,,,18.1,272.1,1015,58,1.9,143.7,12.3,7,,2013-02-19 6:56:04,2013-02-19 18:14:15,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42181099999"
Delhi,2013-02-20,17.21792319,22.3,11.1,16.4,22.3,11.1,16.4,14.1,87.7,0,0,0,,,,,21.7,290.8,1016.5,9.7,1.2,215.5,18.6,8,,2013-02-20 6:55:09,2013-02-20 18:14:57,0.32,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999"
Delhi,2013-02-21,18.45970411,26,12,18.6,26,12,18.6,13.8,78.1,0,0,0,,,,,11.5,190.2,1015.4,39,1.5,175,15.2,7,,2013-02-21 6:54:13,2013-02-21 18:15:39,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42181099999,remote"
Delhi,2013-02-22,19.60361649,26,16.1,20.3,26,16.1,20.3,15.3,75.5,0,0,0,,,,,24.1,99.8,1016.2,58.3,2,207.6,17.9,8,,2013-02-22 6:53:16,2013-02-22 18:16:21,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42181099999"
Delhi,2013-02-23,17.40137296,21,13.9,17.9,21,13.9,17.9,15.6,86.7,9.357,100,12.5,rain,,,55.4,33,93.5,1015.4,80.9,2.8,176.2,15.3,7,,2013-02-23 6:52:19,2013-02-23 18:17:02,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,VIDP,42181099999,remote"
Delhi,2013-02-24,20.10960205,25.4,12,16.7,25.4,12,16.7,13.8,85.5,0,0,0,,,,,18.4,306.4,1018.8,16.2,3.2,228.2,19.5,8,,2013-02-24 6:51:21,2013-02-24 18:17:43,0.45,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999,remote"
Delhi,2013-02-25,17.80113361,25.6,12.1,17.7,25.6,12.1,17.7,13.1,78,0,0,0,,,,,14.8,300.6,1018.2,1.5,2.8,237.2,20.7,8,,2013-02-25 6:50:22,2013-02-25 18:18:24,0.48,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999,remote"
Delhi,2013-02-26,16.94760974,25.1,11.3,18.8,25.1,11.3,18.8,12.9,72.6,0,0,0,,,,,14.8,118.6,1016.2,0.9,2.7,239.7,20.7,8,,2013-02-26 6:49:22,2013-02-26 18:19:04,0.5,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999,remote"
Delhi,2013-02-27,17.12946876,27,16.4,20.9,26.9,16.4,20.9,13,63.6,0,0,0,,,,,16.6,220.4,1014,3.3,3.5,234.5,20.3,8,,2013-02-27 6:48:21,2013-02-27 18:19:44,0.55,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999"
Delhi,2013-02-28,20.37462258,26.3,11.4,19,26.3,11.4,19,10.8,64.3,0,0,0,,,,33.5,22.3,292.3,1017,0,3.1,255.2,22.1,9,,2013-02-28 6:47:20,2013-02-28 18:20:23,0.59,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999,remote"
Delhi,2013-03-01,23.31666326,24,10,17.3,24,7.9,17.3,9.5,64.9,0,0,0,,,,37.1,31.2,286.3,1016.8,8,3.7,260.3,22.5,9,,2013-03-01 6:46:18,2013-03-01 18:21:02,0.62,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999,remote"
Delhi,2013-03-02,19.4531761,26,11,18.1,26,11,18.1,11.1,68.4,0,0,0,,,,,28.7,279.9,1016.2,1.1,3.8,267.9,23.2,9,,2013-03-02 6:45:15,2013-03-02 18:21:41,0.66,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999"
Delhi,2013-03-03,17.27378282,28.9,12,19.6,27.3,12,19.6,12.4,68.4,0,0,0,,,,,23,284.2,1016,0,2.7,258.2,22.2,9,,2013-03-03 6:44:12,2013-03-03 18:22:19,0.69,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999,remote"
Delhi,2013-03-04,16.74194248,29.1,13.1,20.6,27.6,13.1,20.3,11.9,65.5,0,0,0,,,,,14.2,298.7,1015.7,19.2,2.5,265.2,23,9,,2013-03-04 6:43:08,2013-03-04 18:22:57,0.73,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999,remote"
Delhi,2013-03-05,17.97674402,29.7,13.3,21.5,28.5,13.3,21.3,13.5,66.7,0,0,0,,,,,13.7,296.9,1016.4,0,2.5,259.7,22.5,9,,2013-03-05 6:42:04,2013-03-05 18:23:34,0.75,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999"
Delhi,2013-03-06,21.00997139,30.9,14.6,21,28.8,14.6,20.8,13.4,69.9,0,0,0,,,,,21.7,278.6,1016,0,2.2,259.8,22.3,9,,2013-03-06 6:40:59,2013-03-06 18:24:12,0.8,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999,remote"
Delhi,2013-03-07,19.07898024,30.1,15,22.3,28.7,15,22.2,13.8,65,0,0,0,,,,,20.2,282.9,1015.5,0,2.6,261.4,22.8,9,,2013-03-07 6:39:53,2013-03-07 18:24:49,0.84,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999,remote"
