name,datetime,Mean Area-Weighted Radiance,Month ,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sao Paulo,2013-02-15,37.2902224,2,31.4,20,24.2,32.3,20,24.5,18.5,72.3,31,100,8.33,rain,,,51.8,21.2,18.2,1016.4,61.6,8.8,307.1,26.7,10,,2013-02-15 6:54:40,2013-02-15 19:46:27,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,SBSP,SBGR,83780099999"
Sao Paulo,2013-02-16,37.2902224,2,32,20,25.7,31.9,20,25.9,18.1,65.9,10.9,100,4.17,rain,,,40.7,21.2,2.6,1014.4,52.6,10.5,182.6,16.4,7,,2013-02-16 6:55:15,2013-02-16 19:45:44,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBMT,83779099999,SBSP,SBGR,83780099999"
Sao Paulo,2013-02-17,37.2902224,2,29.1,21,25.2,30.1,21,25.4,17.2,62.7,0.5,100,4.17,rain,,,,16.1,359.4,1015.6,59.1,11,202.8,17.3,7,,2013-02-17 5:55:50,2013-02-17 18:45:01,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBMT,83779099999,SBSP,SBGR,83780099999"
Sao Paulo,2013-02-18,39.01448067,2,33.3,21.8,25.6,32.6,21.8,25.7,17.3,62.5,0,0,0,,,,46.4,21.9,322.4,1016.6,71.7,10.3,161.6,13.9,5,,2013-02-18 5:56:23,2013-02-18 18:44:17,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,SBGR,83780099999"
Sao Paulo,2013-02-19,37.47408661,2,30.6,21,23.7,31.9,21,23.9,18,71.4,1,100,4.17,rain,,,57.2,18.3,116.8,1018.1,61.4,10.7,231.5,20,8,,2013-02-19 5:56:57,2013-02-19 18:43:32,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,SBSP,SBGR,83780099999"
Sao Paulo,2013-02-20,39.34578127,2,31.9,18.5,24.8,30.8,18.5,24.9,17.1,64.8,0,0,0,,,,,17.2,122.1,1017.3,39.1,9.5,290.1,24.9,10,,2013-02-20 5:57:30,2013-02-20 18:42:46,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,SBGR,83780099999"
Sao Paulo,2013-02-21,40.06824901,2,31.6,20.2,26.4,30.9,20.2,26.2,15.5,53.8,0,0,0,,,,,22.3,4.5,1016.2,33.1,10,324.5,28,10,,2013-02-21 5:58:02,2013-02-21 18:41:59,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,SBGR,83780099999"
Sao Paulo,2013-02-22,43.55250466,2,30,20.4,23.5,30,20.4,23.6,16.7,66.8,3,100,4.17,rain,,,46.4,26.9,238.7,1017.3,60.5,9.9,242.6,20.9,9,,2013-02-22 5:58:34,2013-02-22 18:41:11,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,SBSP,SBGR,83780099999"
Sao Paulo,2013-02-23,38.69745889,2,23.7,19.4,21.4,23.7,19.4,21.4,17.8,79.9,2,100,4.17,rain,,,,17.8,172.8,1019.1,92.9,10.5,198.4,17.1,7,,2013-02-23 5:59:06,2013-02-23 18:40:23,0.43,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"SBMT,83779099999,SBSP,SBGR,83780099999"
Sao Paulo,2013-02-24,37.39440864,2,31.3,17.2,23.9,31.5,17.2,24.1,18.3,72.6,1,100,4.17,rain,,,,18.4,124.8,1017.2,75.9,9.6,266.4,23.1,9,,2013-02-24 5:59:37,2013-02-24 18:39:34,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,SBSP,SBGR,83780099999"
